,2021-Blockzilla,Website,rank,2014-Blockzilla,2015-Blockzilla,2016-Blockzilla,2017-Blockzilla,2018-Blockzilla,2019-Blockzilla,2020-Blockzilla
252,1,mercadolibre.com.ar,348.0,4,4,4,2,2,1,2
112,11,cbssports.com,349.0,6,13,10,1,11,26,1
223,4,istockphoto.com,350.0,12,3,3,8,10,3,4
164,22,gmx.net,351.0,1,1,1,1,3,3,5
102,3,bloomberg.com,355.0,0,0,35,24,29,10,23
171,7,goodreads.com,357.0,9,11,6,6,5,9,8
268,4,nicovideo.jp,358.0,6,6,12,12,11,1,1
366,9,yoox.com,359.0,10,8,1,7,10,14,16
95,1,att.com,360.0,16,9,13,8,7,9,8
11,10,crowdworks.jp,361.0,15,26,34,30,61,16,47
343,14,uol.com.br,362.0,11,2,11,15,12,18,16
151,2,expedia.com,367.0,13,13,5,12,6,7,27
212,2,in.gr,368.0,2,14,9,2,9,11,15
106,1,breitbart.com,369.0,18,10,5,12,1,4,1
62,1,weather.com,370.0,14,2,5,2,3,3,1
296,23,reuters.com,373.0,9,10,11,16,23,24,16
214,39,inquirer.net,375.0,17,0,16,12,0,21,22
43,10,ria.ru,379.0,6,6,6,6,14,13,11
28,1,iyiou.com,381.0,2,1,9,3,3,12,1
175,1,google.cn,382.0,1,1,1,1,1,1,1
329,18,thesaurus.com,384.0,11,13,17,24,15,8,17
146,13,ensonhaber.com,385.0,1,1,1,2,2,4,1
300,1,sciencedirect.com,390.0,4,4,3,1,5,1,1
150,1,fardanews.com,391.0,1,1,10,12,1,1,1
334,20,tokopedia.com,394.0,1,4,3,11,10,12,14
247,11,marca.com,395.0,0,0,5,11,4,1,7
19,1,divar.ir,396.0,3,1,4,1,1,1,2
249,15,mathrubhumi.com,397.0,24,14,0,1,7,18,12
222,1,iqiyi.com,400.0,3,4,4,4,4,3,3
135,2,deviantart.com,402.0,7,7,16,12,10,22,4
192,4,google.com.ua,405.0,3,3,3,1,3,4,1
335,1,trustpilot.com,407.0,3,1,1,2,2,1,1
27,2,hootsuite.com,410.0,10,9,11,8,9,3,3
346,15,verizon.com,412.0,5,5,1,1,9,11,1
371,3,zara.com,413.0,1,1,1,1,1,1,1
316,14,squarespace.com,414.0,2,11,6,10,13,4,14
352,1,w3school.com.cn,418.0,1,1,1,1,1,1,1
3,1,ameblo.jp,424.0,1,1,1,1,1,1,1
169,4,google.co.kr,425.0,1,3,1,1,3,4,4
138,3,dmm.co.jp,427.0,2,6,6,7,5,5,5
229,2,japanpost.jp,428.0,1,1,1,1,1,3,2
279,2,pcbaby.com.cn,429.0,5,1,12,5,3,2,2
297,6,rottentomatoes.com,431.0,9,22,10,15,9,14,7
158,1,fidelity.com,432.0,1,1,1,1,1,2,2
167,1,gismeteo.ru,435.0,12,6,1,2,1,0,0
140,10,douban.com,440.0,2,8,7,8,8,8,8
251,1,meituan.com,441.0,2,2,4,12,1,1,1
256,1,mit.edu,442.0,3,3,3,1,1,1,1
273,9,ouedkniss.com,444.0,1,3,10,14,15,11,16
155,0,flickr.com,446.0,5,1,1,1,1,1,2
245,5,lyst.com,447.0,3,6,3,8,10,13,4
280,10,outbrain.com,449.0,12,12,12,18,15,10,1
126,14,coursehero.com,452.0,14,6,15,12,16,21,17
306,3,shippingchina.com,454.0,2,2,2,2,2,1,1
290,1,rambler.ru,455.0,2,0,0,18,2,4,1
56,4,teachable.com,456.0,1,10,10,7,1,2,5
313,0,softonic.com,457.0,8,11,14,7,6,11,0
81,1,amazon.com.au,462.0,1,1,1,1,2,2,7
9,3,codepen.io,467.0,0,17,12,2,1,1,3
163,1,freelancer.com,468.0,10,9,8,5,8,1,2
259,3,naukri.com,471.0,4,3,4,4,4,4,4
213,0,ih5.cn,472.0,1,1,1,1,1,0,0
26,1,go.com,478.0,7,2,3,5,1,6,4
70,5,academia.edu,480.0,5,8,7,7,8,8,5
130,1,cvs.com,484.0,18,14,15,7,14,1,1
282,1,people.com.cn,485.0,0,0,9,0,3,3,3
199,3,gsmarena.com,486.0,2,2,8,8,10,7,7
246,3,matchesfashion.com,487.0,4,5,3,11,9,2,3
127,2,coinbase.com,490.0,1,1,1,1,1,3,2
345,12,usnews.com,491.0,15,7,7,19,24,5,12
104,1,bhphotovideo.com,493.0,4,4,2,1,1,1,1
243,1,livescore.com,495.0,22,26,15,1,1,9,2
237,1,lazada.co.th,496.0,9,12,22,13,1,1,1
269,1,oschina.net,497.0,1,1,1,1,1,1,10
190,4,google.ro,501.0,1,3,1,1,3,4,4
188,4,google.gr,502.0,1,3,3,1,1,4,4
40,3,razorpay.com,503.0,1,1,3,4,5,5,1
293,12,redbubble.com,504.0,3,2,2,4,2,11,4
78,1,addthis.com,507.0,3,3,3,2,4,1,1
64,1,258.com,508.0,1,1,1,2,2,2,1
42,1,shareasale.com,509.0,1,1,1,1,1,1,1
37,48,nypost.com,510.0,4,14,6,36,12,30,23
121,3,cnbeta.com,511.0,0,10,7,11,25,33,31
261,5,namecheap.com,512.0,6,5,5,7,3,3,5
359,21,webmd.com,513.0,22,12,7,15,17,12,14
365,11,yeniakit.com.tr,514.0,1,3,9,5,17,21,14
242,21,liputan6.com,517.0,13,14,12,3,1,12,12
4,10,allegro.pl,518.0,3,10,6,3,8,8,10
361,2,worldometers.info,519.0,31,40,24,28,27,17,19
299,4,renren.com,520.0,4,2,2,2,2,2,2
88,1,android.com,522.0,4,3,4,14,4,4,1
108,5,bukalapak.com,523.0,6,11,14,1,10,23,18
168,13,globalsources.com,524.0,4,4,3,6,12,11,11
253,12,moneycontrol.com,526.0,9,9,9,5,4,16,4
240,8,livejournal.com,527.0,2,3,8,4,3,3,8
23,1,getadblock.com,528.0,7,6,4,5,4,3,1
363,1,xabbs.com,530.0,2,1,2,3,3,4,1
232,8,kooora.com,532.0,13,6,8,10,8,12,19
370,6,zhibo8.cc,534.0,13,13,14,44,27,22,22
22,6,genius.com,535.0,8,8,7,8,10,9,7
134,2,delta.com,536.0,1,3,6,4,1,3,2
174,4,google.az,537.0,1,1,1,1,1,4,4
349,8,usatoday.com,539.0,3,8,9,17,5,10,49
57,1,stripchat.com,540.0,1,1,1,1,1,1,1
47,5,sourceforge.net,542.0,13,5,1,5,9,5,4
255,1,messenger.com,545.0,1,1,3,3,1,1,1
80,6,amazon.com.br,549.0,1,1,3,2,3,2,1
340,7,ubereats.com,550.0,8,8,3,7,9,3,1
17,1,disqus.com,553.0,1,1,1,1,1,1,1
307,2,shopbop.com,554.0,6,5,3,1,13,1,1
358,6,walgreens.com,555.0,12,14,8,14,10,7,6
347,4,upwork.com,556.0,1,10,9,13,17,3,7
18,5,elpais.com,557.0,2,6,8,13,14,14,14
339,97,ultimate-guitar.com,559.0,6,4,4,31,14,4,2
263,12,news18.com,560.0,2,1,2,0,19,10,14
274,5,npr.org,561.0,1,3,6,2,9,8,6
36,3,nextdoor.com,562.0,4,4,3,7,5,5,5
114,1,cambridge.org,564.0,9,10,7,8,9,7,1
220,11,irs.gov,566.0,9,12,10,12,12,11,12
191,4,google.com.vn,569.0,3,3,3,1,1,2,4
75,18,adp.com,570.0,4,7,9,7,8,9,15
204,6,hostgator.com,575.0,8,12,12,9,5,7,7
144,11,ebay.com.au,576.0,6,4,10,3,13,18,11
344,0,uptodown.com,577.0,3,7,2,0,0,0,0
319,0,tamin.ir,578.0,5,5,4,4,1,1,1
179,4,google.com.au,579.0,3,3,3,2,3,4,4
117,11,cj.com,582.0,3,2,1,1,2,4,12
228,1,it168.com,584.0,0,0,0,0,1,1,1
227,4,jawapos.com,585.0,1,26,26,11,30,1,15
8,1,chouftv.ma,587.0,32,40,16,11,3,1,1
301,11,schwab.com,588.0,7,7,7,6,4,6,14
348,7,vidio.com,589.0,4,1,3,1,1,7,7
123,2,cloudflare.com,591.0,2,2,1,6,4,3,1
92,2,atlassian.com,592.0,6,5,6,1,4,2,2
238,2,jotform.com,595.0,3,3,5,1,1,2,3
239,1,leboncoin.fr,596.0,1,1,4,1,2,11,14
50,2,tejaratnews.com,597.0,1,3,3,1,1,1,1
206,5,ign.com,598.0,15,16,8,22,16,8,4
275,1,oeeee.com,599.0,7,6,1,1,0,0,0
234,16,kapanlagi.com,602.0,13,7,10,9,14,13,13
41,1,poki.com,603.0,4,1,6,3,2,1,1
351,1,visitbeijing.com.cn,604.0,3,3,0,1,1,1,1
77,2,agoda.com,605.0,4,7,2,7,1,1,1
153,5,flashscore.com,606.0,2,4,3,5,5,5,5
